actor,year,polity,eu,gdppc,gdppc_log,gniam,gniam_log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE,1996,0,0,27614.87703,4.441143114,7721593483,9.887706934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,1996,8,0,399.5773066,2.601600815,3.95E+11,11.5965971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS,1996,-7,0,1129.09271,3.052729603,2.18E+11,11.33845649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,1996,6,0,20117.29702,4.303569628,1.15E+11,11.06069784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,1996,9,0,2919.147763,3.465256079,6455651350,9.809940067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,1996,10,0,39150.05523,4.592732379,5.53E+12,12.74272513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,1996,-5,0,436.1957062,2.639681386,9612736053,9.982847018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUW,1996,-7,0,18488.86658,4.266910288,33952191353,10.53086781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYR,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZK,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAT,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
